Index,Tickets Key,Resolution Date
521,STDCXX-940,2008-5
522,STDCXX-941,2008-5
523,STDCXX-845,2008-5
524,STDCXX-536,2008-5
525,STDCXX-833,2008-5
526,STDCXX-898,2008-5
527,STDCXX-905,2008-6
528,STDCXX-200,2008-6
529,STDCXX-550,2008-6
530,STDCXX-810,2008-6
531,STDCXX-901,2008-6
532,STDCXX-872,2008-6
533,STDCXX-955,2008-6
534,STDCXX-871,2008-6
535,STDCXX-488,2008-6
536,STDCXX-972,2008-6
537,STDCXX-969,2008-6
538,STDCXX-152,2008-6
539,STDCXX-595,2008-6
540,STDCXX-688,2008-7
541,STDCXX-670,2008-7
542,STDCXX-988,2008-7
543,STDCXX-986,2008-7
544,STDCXX-990,2008-7
545,STDCXX-989,2008-7
546,STDCXX-991,2008-7
547,STDCXX-992,2008-7
548,STDCXX-917,2008-7
549,STDCXX-918,2008-7
550,STDCXX-919,2008-7
551,STDCXX-920,2008-7
552,STDCXX-921,2008-7
553,STDCXX-922,2008-7
554,STDCXX-923,2008-7
555,STDCXX-924,2008-7
556,STDCXX-925,2008-7
557,STDCXX-926,2008-7
558,STDCXX-947,2008-7
559,STDCXX-916,2008-7
560,STDCXX-900,2008-7
561,STDCXX-773,2008-7
562,STDCXX-780,2008-7
563,STDCXX-896,2008-7
564,STDCXX-999,2008-7
565,STDCXX-776,2008-8
566,STDCXX-968,2008-8
567,STDCXX-772,2008-8
568,STDCXX-1006,2008-8
569,STDCXX-1007,2008-8
570,STDCXX-1010,2008-9
571,STDCXX-1011,2008-9
572,STDCXX-1012,2008-9
573,STDCXX-1014,2008-9
574,STDCXX-563,2008-9
575,STDCXX-455,2008-9
576,STDCXX-1017,2008-9
577,STDCXX-1009,2008-10
578,STDCXX-976,2008-10
579,STDCXX-1019,2008-11
580,STDCXX-642,2008-11
581,STDCXX-1023,2008-11
582,STDCXX-1024,2008-11
583,STDCXX-1025,2008-11
584,STDCXX-717,2008-12
585,STDCXX-701,2008-12
586,STDCXX-1026,2008-12
587,STDCXX-1033,2009-4
588,STDCXX-1035,2009-5
589,STDCXX-994,2009-5
590,STDCXX-1037,2009-8
591,STDCXX-1041,2009-8
592,STDCXX-1042,2009-9
593,STDCXX-791,2009-9
594,STDCXX-1049,2010-7
595,STDCXX-1047,2010-7
596,STDCXX-1052,2011-3
597,STDCXX-1063,2012-2
598,STDCXX-1060,2012-2
599,STDCXX-1062,2012-2
600,STDCXX-1058,2012-8
601,STDCXX-1070,2012-9
602,STDCXX-1069,2012-9
603,STDCXX-970,2012-10
604,STDCXX-1072,2012-10
605,STDCXX-1073,2012-11
